Words,Features,# of words in google,# of unique words in all documents,Condition prob of given word in google
sleek,1,4240,2844,0.000282326
superb,1,4240,2844,0.000282326
desire,1,4240,2844,0.000282326
Yummy,1,4240,2844,0.000282326
refer,1,4240,2844,0.000282326
prime,8,4240,2844,0.001270469
await,1,4240,2844,0.000282326
searche,11,4240,2844,0.001693958
debt,1,4240,2844,0.000282326
fallen,1,4240,2844,0.000282326
five,1,4240,2844,0.000282326
photography,1,4240,2844,0.000282326
biggest,2,4240,2844,0.00042349
threat,3,4240,2844,0.000564653
king,0,4240,2844,0.000141163
readable,1,4240,2844,0.000282326
emphasi,1,4240,2844,0.000282326
wallet,6,4240,2844,0.000988142
effect,4,4240,2844,0.000705816
efficient,1,4240,2844,0.000282326
browse,1,4240,2844,0.000282326
infinite,10,4240,2844,0.001552795
bookcase,16,4240,2844,0.002399774
difficult,1,4240,2844,0.000282326
benefit,1,4240,2844,0.000282326
bully,4,4240,2844,0.000705816
hangout,2,4240,2844,0.00042349
icecream,10,4240,2844,0.001552795
salmonella,1,4240,2844,0.000282326
hotspot,1,4240,2844,0.000282326
orbital,1,4240,2844,0.000282326
laser,1,4240,2844,0.000282326
wooden,1,4240,2844,0.000282326
deliciou,3,4240,2844,0.000564653
ditch,1,4240,2844,0.000282326
launche,6,4240,2844,0.000988142
closely,1,4240,2844,0.000282326
collaborate,1,4240,2844,0.000282326
pleas,1,4240,2844,0.000282326
press,4,4240,2844,0.000705816
conference,2,4240,2844,0.00042349
slick,1,4240,2844,0.000282326
college,1,4240,2844,0.000282326
scream,2,4240,2844,0.00042349
changer,1,4240,2844,0.000282326
ahead,1,4240,2844,0.000282326
reveal,6,4240,2844,0.000988142
closer,3,4240,2844,0.000564653
face,12,4240,2844,0.001835121
pleasure,1,4240,2844,0.000282326
fantastic,1,4240,2844,0.000282326
globe,2,4240,2844,0.00042349
probably,2,4240,2844,0.00042349
hookup,1,4240,2844,0.000282326
teas,1,4240,2844,0.000282326
accompany,1,4240,2844,0.000282326
usual,2,4240,2844,0.00042349
neat,1,4240,2844,0.000282326
frame,1,4240,2844,0.000282326
generator,1,4240,2844,0.000282326
prettier,2,4240,2844,0.00042349
introduc,5,4240,2844,0.000846979
inside,1,4240,2844,0.000282326
beneficial,1,4240,2844,0.000282326
tool,9,4240,2844,0.001411632
doc,7,4240,2844,0.001129305
particularly,1,4240,2844,0.000282326
theme,3,4240,2844,0.000564653
sentence,0,4240,2844,0.000141163
rite,1,4240,2844,0.000282326
accord,3,4240,2844,0.000564653
beam,16,4240,2844,0.002399774
alright,1,4240,2844,0.000282326
decision,2,4240,2844,0.00042349
ugly,1,4240,2844,0.000282326
taste,2,4240,2844,0.00042349
blog,12,4240,2844,0.001835121
outdate,2,4240,2844,0.00042349
instant,1,4240,2844,0.000282326
raise,4,4240,2844,0.000705816
detection,1,4240,2844,0.000282326
essential,1,4240,2844,0.000282326
crave,2,4240,2844,0.00042349
adopt,1,4240,2844,0.000282326
philosophy,1,4240,2844,0.000282326
polish,1,4240,2844,0.000282326
port,1,4240,2844,0.000282326
catchy,1,4240,2844,0.000282326
advertisement,1,4240,2844,0.000282326
carry,4,4240,2844,0.000705816
november,2,4240,2844,0.00042349
pant,1,4240,2844,0.000282326
literally,2,4240,2844,0.00042349
blown,2,4240,2844,0.00042349
combination,1,4240,2844,0.000282326
introduction,3,4240,2844,0.000564653
party,2,4240,2844,0.00042349
regular,1,4240,2844,0.000282326
interval,1,4240,2844,0.000282326
real,7,4240,2844,0.001129305
executive,1,4240,2844,0.000282326
capabiliti,4,4240,2844,0.000705816
select,1,4240,2844,0.000282326
transfer,1,4240,2844,0.000282326
dig,1,4240,2844,0.000282326
quick,4,4240,2844,0.000705816
politely,1,4240,2844,0.000282326
goodbye,0,4240,2844,0.000141163
taught,1,4240,2844,0.000282326
decent,1,4240,2844,0.000282326
positive,2,4240,2844,0.00042349
directly,1,4240,2844,0.000282326
layout,1,4240,2844,0.000282326
aggregate,1,4240,2844,0.000282326
source,4,4240,2844,0.000705816
spiral,2,4240,2844,0.00042349
inbuilt,2,4240,2844,0.00042349
panoramic,1,4240,2844,0.000282326
panorama,4,4240,2844,0.000705816
tasty,1,4240,2844,0.000282326
toy,0,4240,2844,0.000141163
gallery,4,4240,2844,0.000705816
shutter,2,4240,2844,0.00042349
insane,1,4240,2844,0.000282326
thumb,1,4240,2844,0.000282326
edit,1,4240,2844,0.000282326
three,7,4240,2844,0.001129305
score,1,4240,2844,0.000282326
along,3,4240,2844,0.000564653
delay,1,4240,2844,0.000282326
watchdog,1,4240,2844,0.000282326
study,3,4240,2844,0.000564653
guide,0,4240,2844,0.000141163
display,1,4240,2844,0.000282326
peanut,1,4240,2844,0.000282326
neither,1,4240,2844,0.000282326
pea,1,4240,2844,0.000282326
discuss,1,4240,2844,0.000282326
retard,1,4240,2844,0.000282326
planet,1,4240,2844,0.000282326
pinch,1,4240,2844,0.000282326
zoom,1,4240,2844,0.000282326
superior,1,4240,2844,0.000282326
bookmark,3,4240,2844,0.000564653
redesign,2,4240,2844,0.00042349
conversation,1,4240,2844,0.000282326
automatically,1,4240,2844,0.000282326
doorstep,1,4240,2844,0.000282326
excellent,1,4240,2844,0.000282326
commercial,1,4240,2844,0.000282326
announcement,11,4240,2844,0.001693958
dictation,1,4240,2844,0.000282326
smooth,1,4240,2844,0.000282326
responsive,1,4240,2844,0.000282326
widget,4,4240,2844,0.000705816
navigation,1,4240,2844,0.000282326
built,1,4240,2844,0.000282326
stack,1,4240,2844,0.000282326
richer,1,4240,2844,0.000282326
wallpaper,1,4240,2844,0.000282326
curiou,1,4240,2844,0.000282326
highlight,3,4240,2844,0.000564653
mull,1,4240,2844,0.000282326
shore,1,4240,2844,0.000282326
bout,1,4240,2844,0.000282326
accessibility,1,4240,2844,0.000282326
dump,3,4240,2844,0.000564653
ton,2,4240,2844,0.00042349
spam,2,4240,2844,0.00042349
awkward,1,4240,2844,0.000282326
load,1,4240,2844,0.000282326
blackout,1,4240,2844,0.000282326
threaten,1,4240,2844,0.000282326
august,1,4240,2844,0.000282326
uphill,1,4240,2844,0.000282326
parker,1,4240,2844,0.000282326
lecture,0,4240,2844,0.000141163
economic,1,4240,2844,0.000282326
hypocritical,1,4240,2844,0.000282326
melt,0,4240,2844,0.000141163
letdown,2,4240,2844,0.00042349
introduce,4,4240,2844,0.000705816
singaporean,1,4240,2844,0.000282326
facial,5,4240,2844,0.000846979
demo,2,4240,2844,0.00042349
goof,1,4240,2844,0.000282326
interference,1,4240,2844,0.000282326
headache,0,4240,2844,0.000141163
visigoth,1,4240,2844,0.000282326
froze,0,4240,2844,0.000141163
new,12,4240,2844,0.001835121
laughable,1,4240,2844,0.000282326
encrypt,12,4240,2844,0.001835121
maximize,1,4240,2844,0.000282326
collection,1,4240,2844,0.000282326
background,1,4240,2844,0.000282326
horrible,1,4240,2844,0.000282326
stream,1,4240,2844,0.000282326
code,2,4240,2844,0.00042349
skill,0,4240,2844,0.000141163
perform,1,4240,2844,0.000282326
date,1,4240,2844,0.000282326
impact,1,4240,2844,0.000282326
illustrate,1,4240,2844,0.000282326
peril,1,4240,2844,0.000282326
demonstration,1,4240,2844,0.000282326
admirably,1,4240,2844,0.000282326
revolution,5,4240,2844,0.000846979
stalk,0,4240,2844,0.000141163
performance,1,4240,2844,0.000282326
leave,1,4240,2844,0.000282326
fold,1,4240,2844,0.000282326
beat,5,4240,2844,0.000846979
iteration,1,4240,2844,0.000282326
several,1,4240,2844,0.000282326
revamp,2,4240,2844,0.00042349
compete,1,4240,2844,0.000282326
pittsburgh,1,4240,2844,0.000282326
recruit,1,4240,2844,0.000282326
hands-on,4,4240,2844,0.000705816
latest,5,4240,2844,0.000846979
theater,1,4240,2844,0.000282326
dubai,1,4240,2844,0.000282326
unwrap,6,4240,2844,0.000988142
vagina,1,4240,2844,0.000282326
encryption,3,4240,2844,0.000564653
menu,2,4240,2844,0.00042349
butt,1,4240,2844,0.000282326
unite,3,4240,2844,0.000564653
republish,1,4240,2844,0.000282326
index,2,4240,2844,0.00042349
perk,5,4240,2844,0.000846979
empire,0,4240,2844,0.000141163
avenue,1,4240,2844,0.000282326
outbound,4,4240,2844,0.000705816
rede,1,4240,2844,0.000282326
understand,1,4240,2844,0.000282326
flight,1,4240,2844,0.000282326
travel,1,4240,2844,0.000282326
downward,1,4240,2844,0.000282326
novelty,0,4240,2844,0.000141163
important,3,4240,2844,0.000564653
density,1,4240,2844,0.000282326
real-time,3,4240,2844,0.000564653
collaboration,3,4240,2844,0.000564653
transition,3,4240,2844,0.000564653
joke,2,4240,2844,0.00042349
slogan,2,4240,2844,0.00042349
industry,3,4240,2844,0.000564653
witness,3,4240,2844,0.000564653
astound,3,4240,2844,0.000564653
seal,3,4240,2844,0.000564653
supreme,3,4240,2844,0.000564653
console,3,4240,2844,0.000564653
traditional,2,4240,2844,0.00042349
secure,4,4240,2844,0.000705816
queri,2,4240,2844,0.00042349
track,1,4240,2844,0.000282326
land,1,4240,2844,0.000282326
conversion,2,4240,2844,0.00042349
cap,1,4240,2844,0.000282326
commodity,2,4240,2844,0.00042349
advertiser,2,4240,2844,0.00042349
arrive,1,4240,2844,0.000282326
curve,1,4240,2844,0.000282326
rival,2,4240,2844,0.00042349
url,1,4240,2844,0.000282326
webmaster,2,4240,2844,0.00042349
chicago,1,4240,2844,0.000282326
recap,2,4240,2844,0.00042349
host,1,4240,2844,0.000282326
africa,1,4240,2844,0.000282326
political,1,4240,2844,0.000282326
revue,1,4240,2844,0.000282326
companion,1,4240,2844,0.000282326
controller,1,4240,2844,0.000282326
announce,13,4240,2844,0.001976285
payment,1,4240,2844,0.000282326
environment,0,4240,2844,0.000141163
solar,2,4240,2844,0.00042349
plant,1,4240,2844,0.000282326
block,2,4240,2844,0.00042349
receive,3,4240,2844,0.000564653
juice,1,4240,2844,0.000282326
run-down,1,4240,2844,0.000282326
tip,0,4240,2844,0.000141163
crawl,1,4240,2844,0.000282326
creep,1,4240,2844,0.000282326
wake,1,4240,2844,0.000282326
honeycomb,1,4240,2844,0.000282326
gingerbread,7,4240,2844,0.001129305
referral,1,4240,2844,0.000282326
hack,2,4240,2844,0.00042349
wisely,1,4240,2844,0.000282326
sheet,1,4240,2844,0.000282326
xma,1,4240,2844,0.000282326
confirm,9,4240,2844,0.001411632
enhancement,1,4240,2844,0.000282326
texa,2,4240,2844,0.00042349
instrument,3,4240,2844,0.000564653
core,3,4240,2844,0.000564653
newer,2,4240,2844,0.00042349
processor,2,4240,2844,0.00042349
competition,3,4240,2844,0.000564653
venture,4,4240,2844,0.000705816
rumor,1,4240,2844,0.000282326
asap,1,4240,2844,0.000282326
application,1,4240,2844,0.000282326
overview,2,4240,2844,0.00042349
acceleration,1,4240,2844,0.000282326
telecom,1,4240,2844,0.000282326
pure,2,4240,2844,0.00042349
society,1,4240,2844,0.000282326
empowerment,1,4240,2844,0.000282326
lightly,0,4240,2844,0.000141163
determine,2,4240,2844,0.00042349
firm,1,4240,2844,0.000282326
investment,1,4240,2844,0.000282326
solely,1,4240,2844,0.000282326
spencer,1,4240,2844,0.000282326
restrict,1,4240,2844,0.000282326
engine,1,4240,2844,0.000282326
cach,1,4240,2844,0.000282326
retailer,1,4240,2844,0.000282326
jump,1,4240,2844,0.000282326
promotion,1,4240,2844,0.000282326
fortunately,1,4240,2844,0.000282326
sadly,1,4240,2844,0.000282326
copi,1,4240,2844,0.000282326
captain,1,4240,2844,0.000282326
movie,2,4240,2844,0.00042349
intro,1,4240,2844,0.000282326
destination,1,4240,2844,0.000282326
rant,1,4240,2844,0.000282326
pathetic,1,4240,2844,0.000282326
afterthought,1,4240,2844,0.000282326
suite,1,4240,2844,0.000282326
variety,1,4240,2844,0.000282326
way,1,4240,2844,0.000282326
engineer,1,4240,2844,0.000282326
intend,1,4240,2844,0.000282326
become,1,4240,2844,0.000282326
famou,1,4240,2844,0.000282326
criticize,1,4240,2844,0.000282326
trounc,1,4240,2844,0.000282326
discover,0,4240,2844,0.000141163
critical,1,4240,2844,0.000282326
information,1,4240,2844,0.000282326
belong,1,4240,2844,0.000282326
digitally,1,4240,2844,0.000282326
underly,2,4240,2844,0.00042349
eatable,2,4240,2844,0.00042349
eclair,2,4240,2844,0.00042349
reshape,1,4240,2844,0.000282326
feat,1,4240,2844,0.000282326
freestyle,1,4240,2844,0.000282326
manhole,1,4240,2844,0.000282326
round,1,4240,2844,0.000282326
china,0,4240,2844,0.000141163
googl,1,4240,2844,0.000282326
women,4,4240,2844,0.000705816
resemble,1,4240,2844,0.000282326
momma,1,4240,2844,0.000282326
fellow,1,4240,2844,0.000282326
michigander,1,4240,2844,0.000282326
michigan,1,4240,2844,0.000282326
circle,3,4240,2844,0.000564653
hacker,1,4240,2844,0.000282326
marketer,1,4240,2844,0.000282326
division,1,4240,2844,0.000282326
development,1,4240,2844,0.000282326
spring,1,4240,2844,0.000282326
drink,1,4240,2844,0.000282326
barometer,2,4240,2844,0.00042349
bunny,1,4240,2844,0.000282326
watson,1,4240,2844,0.000282326
unlike,1,4240,2844,0.000282326
repli,1,4240,2844,0.000282326
thread,1,4240,2844,0.000282326
weaken,1,4240,2844,0.000282326
undoubtedly,1,4240,2844,0.000282326
tough,1,4240,2844,0.000282326
demon,2,4240,2844,0.00042349
cast,3,4240,2844,0.000564653
wide,2,4240,2844,0.00042349
mike,2,4240,2844,0.00042349
smile,1,4240,2844,0.000282326
shout,1,4240,2844,0.000282326
universe,1,4240,2844,0.000282326
explod,1,4240,2844,0.000282326
advantage,1,4240,2844,0.000282326
profound,1,4240,2844,0.000282326
massive,2,4240,2844,0.00042349
nexuss,1,4240,2844,0.000282326
lazy,1,4240,2844,0.000282326
short,1,4240,2844,0.000282326
supply,1,4240,2844,0.000282326
roundup,1,4240,2844,0.000282326
snippet,1,4240,2844,0.000282326
prod,1,4240,2844,0.000282326
gadget,1,4240,2844,0.000282326
uncategorize,1,4240,2844,0.000282326
availability,1,4240,2844,0.000282326
peter,1,4240,2844,0.000282326
mango,1,4240,2844,0.000282326
emb,0,4240,2844,0.000141163
redirect,1,4240,2844,0.000282326
artisan,1,4240,2844,0.000282326
experiment,1,4240,2844,0.000282326
mouth,1,4240,2844,0.000282326
relive,1,4240,2844,0.000282326
rebuttal,1,4240,2844,0.000282326
bridge,1,4240,2844,0.000282326
pretend,1,4240,2844,0.000282326
steal,1,4240,2844,0.000282326
crew,1,4240,2844,0.000282326
coverage,1,4240,2844,0.000282326
health,2,4240,2844,0.00042349
dust,1,4240,2844,0.000282326
children,1,4240,2844,0.000282326
gun,1,4240,2844,0.000282326
parisian,1,4240,2844,0.000282326
debate,1,4240,2844,0.000282326
vote,1,4240,2844,0.000282326
somebody,1,4240,2844,0.000282326
imitation,1,4240,2844,0.000282326
flattery,1,4240,2844,0.000282326
junkyard,2,4240,2844,0.00042349
examine,1,4240,2844,0.000282326
bounce,1,4240,2844,0.000282326
lover,9,4240,2844,0.001411632
beate,1,4240,2844,0.000282326
village,1,4240,2844,0.000282326
intent,0,4240,2844,0.000141163
coupon,1,4240,2844,0.000282326
reward,1,4240,2844,0.000282326
despite,1,4240,2844,0.000282326
monumental,1,4240,2844,0.000282326
conspiracy,1,4240,2844,0.000282326
threw,1,4240,2844,0.000282326
pleasant,1,4240,2844,0.000282326
indee,1,4240,2844,0.000282326
laugh,1,4240,2844,0.000282326
tap,1,4240,2844,0.000282326
private,1,4240,2844,0.000282326
brows,1,4240,2844,0.000282326
eye,1,4240,2844,0.000282326
inspiration,1,4240,2844,0.000282326
duly,1,4240,2844,0.000282326
innovator,1,4240,2844,0.000282326
recent,0,4240,2844,0.000141163
position,2,4240,2844,0.00042349
amaze,0,4240,2844,0.000141163
freshen,1,4240,2844,0.000282326
buggy,1,4240,2844,0.000282326
bookworm,1,4240,2844,0.000282326
abstract,1,4240,2844,0.000282326
limitless,1,4240,2844,0.000282326
librari,1,4240,2844,0.000282326
bill,1,4240,2844,0.000282326
gross,1,4240,2844,0.000282326
develop,0,4240,2844,0.000141163
notch,0,4240,2844,0.000141163
backdrop,0,4240,2844,0.000141163
lot,0,4240,2844,0.000141163
resolution,0,4240,2844,0.000141163
maryland,0,4240,2844,0.000141163
mica,0,4240,2844,0.000141163
catch,0,4240,2844,0.000141163
recently,0,4240,2844,0.000141163
prep,0,4240,2844,0.000141163
unifi,0,4240,2844,0.000141163
europe,0,4240,2844,0.000141163
asia,0,4240,2844,0.000141163
hugo,0,4240,2844,0.000141163
buddi,0,4240,2844,0.000141163
cent,0,4240,2844,0.000141163
capture,0,4240,2844,0.000141163
continuou,0,4240,2844,0.000141163
lapse,0,4240,2844,0.000141163
glitch,0,4240,2844,0.000141163
beirut,0,4240,2844,0.000141163
tag,0,4240,2844,0.000141163
hipster,0,4240,2844,0.000141163
filter,0,4240,2844,0.000141163
irony,0,4240,2844,0.000141163
marketplace,0,4240,2844,0.000141163
preview,0,4240,2844,0.000141163
scale,0,4240,2844,0.000141163
guest,0,4240,2844,0.000141163
mostly,0,4240,2844,0.000141163
chinese,0,4240,2844,0.000141163
show-off,0,4240,2844,0.000141163
reverse,0,4240,2844,0.000141163
crime,0,4240,2844,0.000141163
wear,0,4240,2844,0.000141163
capability,0,4240,2844,0.000141163
measure,0,4240,2844,0.000141163
campaign,0,4240,2844,0.000141163
tagger,0,4240,2844,0.000141163
sticker,0,4240,2844,0.000141163
cheque,0,4240,2844,0.000141163
echelon,0,4240,2844,0.000141163
asian,0,4240,2844,0.000141163
rise,0,4240,2844,0.000141163
democrat,0,4240,2844,0.000141163
join,0,4240,2844,0.000141163
grey,0,4240,2844,0.000141163
chairman,0,4240,2844,0.000141163
greater,0,4240,2844,0.000141163
asset,0,4240,2844,0.000141163
heavy,0,4240,2844,0.000141163
park,0,4240,2844,0.000141163
summit,0,4240,2844,0.000141163
reflect,0,4240,2844,0.000141163
culture,0,4240,2844,0.000141163
poker,0,4240,2844,0.000141163
fight,0,4240,2844,0.000141163
university,0,4240,2844,0.000141163
propose,0,4240,2844,0.000141163
eyelid,0,4240,2844,0.000141163
twitche,0,4240,2844,0.000141163
passe,0,4240,2844,0.000141163
pour,0,4240,2844,0.000141163
singapore,0,4240,2844,0.000141163
pacific,0,4240,2844,0.000141163
region,0,4240,2844,0.000141163
parkway,0,4240,2844,0.000141163
novena,0,4240,2844,0.000141163
premier,0,4240,2844,0.000141163
healthcare,0,4240,2844,0.000141163
impatient,0,4240,2844,0.000141163
arriver,0,4240,2844,0.000141163
salisbury,0,4240,2844,0.000141163
tournament,0,4240,2844,0.000141163
fire,0,4240,2844,0.000141163
fringe,0,4240,2844,0.000141163
pulse,0,4240,2844,0.000141163
para,0,4240,2844,0.000141163
ringgit,0,4240,2844,0.000141163
european,0,4240,2844,0.000141163
currenci,0,4240,2844,0.000141163
strengthen,0,4240,2844,0.000141163
outweigh,0,4240,2844,0.000141163
higher,0,4240,2844,0.000141163
ey,0,4240,2844,0.000141163
thailand,0,4240,2844,0.000141163
factor,0,4240,2844,0.000141163
agency,0,4240,2844,0.000141163
originally,0,4240,2844,0.000141163
guardian,0,4240,2844,0.000141163
shop,0,4240,2844,0.000141163
strategi,0,4240,2844,0.000141163
pace,0,4240,2844,0.000141163
spain,0,4240,2844,0.000141163
downside,0,4240,2844,0.000141163
rumour,0,4240,2844,0.000141163
dive,0,4240,2844,0.000141163
bond,0,4240,2844,0.000141163
strait,0,4240,2844,0.000141163
wheat,0,4240,2844,0.000141163
monopoly,0,4240,2844,0.000141163
swap,0,4240,2844,0.000141163
compliance,0,4240,2844,0.000141163
leas,0,4240,2844,0.000141163
programme,0,4240,2844,0.000141163
rachel,0,4240,2844,0.000141163
specify,0,4240,2844,0.000141163
license,0,4240,2844,0.000141163
surfactant,0,4240,2844,0.000141163
sauce,0,4240,2844,0.000141163
tout,0,4240,2844,0.000141163
beau,0,4240,2844,0.000141163
panda,0,4240,2844,0.000141163
affect,0,4240,2844,0.000141163
rank,0,4240,2844,0.000141163
vendor,0,4240,2844,0.000141163
degree,0,4240,2844,0.000141163
format,0,4240,2844,0.000141163
annotate,0,4240,2844,0.000141163
bibliography,0,4240,2844,0.000141163
jew,0,4240,2844,0.000141163
jesu,0,4240,2844,0.000141163
hitler,0,4240,2844,0.000141163
lab,0,4240,2844,0.000141163
harvard,0,4240,2844,0.000141163
mindfulness,0,4240,2844,0.000141163
technique,0,4240,2844,0.000141163
jewel,0,4240,2844,0.000141163
swear,0,4240,2844,0.000141163
nada,0,4240,2844,0.000141163
dealt,0,4240,2844,0.000141163
method,0,4240,2844,0.000141163
profitable,0,4240,2844,0.000141163
duke,0,4240,2844,0.000141163
homeless,0,4240,2844,0.000141163
Youth,0,4240,2844,0.000141163
domestic,0,4240,2844,0.000141163
violence,0,4240,2844,0.000141163
newbi,0,4240,2844,0.000141163
river,0,4240,2844,0.000141163
waste,0,4240,2844,0.000141163
will,0,4240,2844,0.000141163
hail,0,4240,2844,0.000141163
encounter,0,4240,2844,0.000141163
agenda,0,4240,2844,0.000141163
funniest,0,4240,2844,0.000141163
sushi,0,4240,2844,0.000141163
lawyer,0,4240,2844,0.000141163
police,0,4240,2844,0.000141163
okay,0,4240,2844,0.000141163
feedback,0,4240,2844,0.000141163
settlement,0,4240,2844,0.000141163
plaintiff,0,4240,2844,0.000141163
role,0,4240,2844,0.000141163
insolvency,0,4240,2844,0.000141163
reconnaissance,0,4240,2844,0.000141163
caution,0,4240,2844,0.000141163
cyanogen,0,4240,2844,0.000141163
deep,0,4240,2844,0.000141163
participate,0,4240,2844,0.000141163
certification,0,4240,2844,0.000141163
spanish,0,4240,2844,0.000141163
medical,0,4240,2844,0.000141163
buffalo,0,4240,2844,0.000141163
pavilion,0,4240,2844,0.000141163
claw,0,4240,2844,0.000141163
relevance,0,4240,2844,0.000141163
rich,0,4240,2844,0.000141163
excel,0,4240,2844,0.000141163
productive,0,4240,2844,0.000141163
communication,0,4240,2844,0.000141163
underrate,0,4240,2844,0.000141163
dish,0,4240,2844,0.000141163
handset,0,4240,2844,0.000141163
explorer,0,4240,2844,0.000141163
eate,0,4240,2844,0.000141163
priceless,0,4240,2844,0.000141163
vancouver,0,4240,2844,0.000141163
evangelist,0,4240,2844,0.000141163
cash,0,4240,2844,0.000141163
coast,0,4240,2844,0.000141163
portland,0,4240,2844,0.000141163
safe,0,4240,2844,0.000141163
safety,0,4240,2844,0.000141163
technologi,0,4240,2844,0.000141163
encourage,0,4240,2844,0.000141163
career,0,4240,2844,0.000141163
enjoy,0,4240,2844,0.000141163
compell,0,4240,2844,0.000141163
self-service,0,4240,2844,0.000141163
registration,0,4240,2844,0.000141163
curate,0,4240,2844,0.000141163
greenwich,0,4240,2844,0.000141163
later,0,4240,2844,0.000141163
charity,0,4240,2844,0.000141163
philanthropy,0,4240,2844,0.000141163
scientist,0,4240,2844,0.000141163
extent,0,4240,2844,0.000141163
sponsor,0,4240,2844,0.000141163
delegate,0,4240,2844,0.000141163
validate,0,4240,2844,0.000141163
target,0,4240,2844,0.000141163
touchscreen,0,4240,2844,0.000141163
campu,0,4240,2844,0.000141163
mixer,0,4240,2844,0.000141163
science,0,4240,2844,0.000141163
fiction,0,4240,2844,0.000141163
playful,0,4240,2844,0.000141163
faculty,0,4240,2844,0.000141163
pois,0,4240,2844,0.000141163
action,0,4240,2844,0.000141163
contender,0,4240,2844,0.000141163
combine,0,4240,2844,0.000141163
interface,0,4240,2844,0.000141163
became,0,4240,2844,0.000141163
citizenship,0,4240,2844,0.000141163
member,0,4240,2844,0.000141163
border,0,4240,2844,0.000141163
utiliti,0,4240,2844,0.000141163
enterprise,0,4240,2844,0.000141163
scalability,0,4240,2844,0.000141163
unfair,0,4240,2844,0.000141163
assessment,0,4240,2844,0.000141163
sage,0,4240,2844,0.000141163
dynamic,0,4240,2844,0.000141163
opportuniti,0,4240,2844,0.000141163
tour,0,4240,2844,0.000141163
helsinki,0,4240,2844,0.000141163
finland,0,4240,2844,0.000141163
sugar-coate,0,4240,2844,0.000141163
blatant,0,4240,2844,0.000141163
propaganda,0,4240,2844,0.000141163
composite,0,4240,2844,0.000141163
individual,0,4240,2844,0.000141163
technological,0,4240,2844,0.000141163
futuristic,0,4240,2844,0.000141163
desir,0,4240,2844,0.000141163
provid,0,4240,2844,0.000141163
fund,0,4240,2844,0.000141163
sweatshop,0,4240,2844,0.000141163
gate,0,4240,2844,0.000141163
foundation,0,4240,2844,0.000141163
courtesy,0,4240,2844,0.000141163
inspir,0,4240,2844,0.000141163
surface,0,4240,2844,0.000141163
vulnerability,0,4240,2844,0.000141163
framework,0,4240,2844,0.000141163
eclips,0,4240,2844,0.000141163
violate,0,4240,2844,0.000141163
u.,0,4240,2844,0.000141163
law,0,4240,2844,0.000141163
netscape,0,4240,2844,0.000141163
victim,0,4240,2844,0.000141163
racketeer,0,4240,2844,0.000141163
outlaw,0,4240,2844,0.000141163
worker,0,4240,2844,0.000141163
chief,0,4240,2844,0.000141163
mole,0,4240,2844,0.000141163
messy,0,4240,2844,0.000141163
nightmare,0,4240,2844,0.000141163
creepy,0,4240,2844,0.000141163
enrage,0,4240,2844,0.000141163
produce,0,4240,2844,0.000141163
lobby,0,4240,2844,0.000141163
politician,0,4240,2844,0.000141163
acceptable,0,4240,2844,0.000141163
sit,0,4240,2844,0.000141163
compare,0,4240,2844,0.000141163
albatross,0,4240,2844,0.000141163
neck,0,4240,2844,0.000141163
happier,0,4240,2844,0.000141163
comp,0,4240,2844,0.000141163
discussion,0,4240,2844,0.000141163
grab,0,4240,2844,0.000141163
nearly,0,4240,2844,0.000141163
dine,0,4240,2844,0.000141163
lean,0,4240,2844,0.000141163
concept,0,4240,2844,0.000141163
corporation,0,4240,2844,0.000141163
difference,0,4240,2844,0.000141163
kick,0,4240,2844,0.000141163
alongside,0,4240,2844,0.000141163
colour,0,4240,2844,0.000141163
blew,0,4240,2844,0.000141163
water,0,4240,2844,0.000141163
interoperability,0,4240,2844,0.000141163
backward,0,4240,2844,0.000141163
compatibility,0,4240,2844,0.000141163
stephen,0,4240,2844,0.000141163
cesspit,0,4240,2844,0.000141163
extreme,0,4240,2844,0.000141163
avoid,0,4240,2844,0.000141163
negative,0,4240,2844,0.000141163
comment,0,4240,2844,0.000141163
distrust,0,4240,2844,0.000141163
angst,0,4240,2844,0.000141163
fixation,0,4240,2844,0.000141163
wave,0,4240,2844,0.000141163
bye-bye,0,4240,2844,0.000141163
preach,0,4240,2844,0.000141163
value,0,4240,2844,0.000141163
excuse,0,4240,2844,0.000141163
instantly,0,4240,2844,0.000141163
manually,0,4240,2844,0.000141163
unproductive,0,4240,2844,0.000141163
forc,0,4240,2844,0.000141163
enemi,0,4240,2844,0.000141163
pray,0,4240,2844,0.000141163
licens,0,4240,2844,0.000141163
baffle,0,4240,2844,0.000141163
moron,0,4240,2844,0.000141163
arrogance,0,4240,2844,0.000141163
compliment,0,4240,2844,0.000141163
obituari,0,4240,2844,0.000141163
riskiest,0,4240,2844,0.000141163
attribut,0,4240,2844,0.000141163
undergo,0,4240,2844,0.000141163
trial,0,4240,2844,0.000141163
alleg,0,4240,2844,0.000141163
practice,0,4240,2844,0.000141163
conclud,0,4240,2844,0.000141163
march,0,4240,2844,0.000141163
ultimate,0,4240,2844,0.000141163
catastrophe,0,4240,2844,0.000141163
plot,0,4240,2844,0.000141163
loathe,0,4240,2844,0.000141163
unable,0,4240,2844,0.000141163
german,0,4240,2844,0.000141163
federal,0,4240,2844,0.000141163
trojan,0,4240,2844,0.000141163
spy,0,4240,2844,0.000141163
exception,0,4240,2844,0.000141163
slack,0,4240,2844,0.000141163
mandarin,0,4240,2844,0.000141163
studi,0,4240,2844,0.000141163
cisco,0,4240,2844,0.000141163
