Words,Features,# of words in apple,# of unique words in all documents,Condition prob of given word in apple
sleek,0,5206,2844,0.000124224
superb,0,5206,2844,0.000124224
desire,0,5206,2844,0.000124224
Yummy,0,5206,2844,0.000124224
refer,0,5206,2844,0.000124224
prime,0,5206,2844,0.000124224
await,0,5206,2844,0.000124224
searche,0,5206,2844,0.000124224
debt,0,5206,2844,0.000124224
fallen,0,5206,2844,0.000124224
five,0,5206,2844,0.000124224
photography,0,5206,2844,0.000124224
biggest,0,5206,2844,0.000124224
threat,0,5206,2844,0.000124224
king,0,5206,2844,0.000124224
readable,0,5206,2844,0.000124224
emphasi,0,5206,2844,0.000124224
wallet,0,5206,2844,0.000124224
effect,0,5206,2844,0.000124224
efficient,0,5206,2844,0.000124224
browse,0,5206,2844,0.000124224
infinite,0,5206,2844,0.000124224
bookcase,0,5206,2844,0.000124224
difficult,0,5206,2844,0.000124224
benefit,0,5206,2844,0.000124224
bully,0,5206,2844,0.000124224
hangout,0,5206,2844,0.000124224
icecream,0,5206,2844,0.000124224
salmonella,0,5206,2844,0.000124224
hotspot,0,5206,2844,0.000124224
orbital,0,5206,2844,0.000124224
laser,0,5206,2844,0.000124224
wooden,0,5206,2844,0.000124224
deliciou,0,5206,2844,0.000124224
ditch,0,5206,2844,0.000124224
launche,0,5206,2844,0.000124224
closely,0,5206,2844,0.000124224
collaborate,0,5206,2844,0.000124224
pleas,0,5206,2844,0.000124224
press,0,5206,2844,0.000124224
conference,0,5206,2844,0.000124224
slick,0,5206,2844,0.000124224
college,0,5206,2844,0.000124224
scream,0,5206,2844,0.000124224
changer,0,5206,2844,0.000124224
ahead,0,5206,2844,0.000124224
reveal,0,5206,2844,0.000124224
closer,0,5206,2844,0.000124224
face,0,5206,2844,0.000124224
pleasure,0,5206,2844,0.000124224
fantastic,0,5206,2844,0.000124224
globe,0,5206,2844,0.000124224
probably,0,5206,2844,0.000124224
hookup,0,5206,2844,0.000124224
teas,0,5206,2844,0.000124224
accompany,0,5206,2844,0.000124224
usual,0,5206,2844,0.000124224
neat,0,5206,2844,0.000124224
frame,0,5206,2844,0.000124224
generator,0,5206,2844,0.000124224
prettier,0,5206,2844,0.000124224
introduc,0,5206,2844,0.000124224
inside,0,5206,2844,0.000124224
beneficial,0,5206,2844,0.000124224
tool,0,5206,2844,0.000124224
doc,0,5206,2844,0.000124224
particularly,0,5206,2844,0.000124224
theme,0,5206,2844,0.000124224
sentence,0,5206,2844,0.000124224
rite,0,5206,2844,0.000124224
accord,0,5206,2844,0.000124224
beam,0,5206,2844,0.000124224
alright,0,5206,2844,0.000124224
decision,0,5206,2844,0.000124224
ugly,0,5206,2844,0.000124224
taste,0,5206,2844,0.000124224
blog,0,5206,2844,0.000124224
outdate,0,5206,2844,0.000124224
instant,0,5206,2844,0.000124224
raise,0,5206,2844,0.000124224
detection,0,5206,2844,0.000124224
essential,0,5206,2844,0.000124224
crave,0,5206,2844,0.000124224
adopt,0,5206,2844,0.000124224
philosophy,0,5206,2844,0.000124224
polish,0,5206,2844,0.000124224
port,0,5206,2844,0.000124224
catchy,0,5206,2844,0.000124224
advertisement,0,5206,2844,0.000124224
carry,0,5206,2844,0.000124224
november,0,5206,2844,0.000124224
pant,0,5206,2844,0.000124224
literally,0,5206,2844,0.000124224
blown,0,5206,2844,0.000124224
combination,0,5206,2844,0.000124224
introduction,0,5206,2844,0.000124224
party,0,5206,2844,0.000124224
regular,0,5206,2844,0.000124224
interval,0,5206,2844,0.000124224
real,0,5206,2844,0.000124224
executive,0,5206,2844,0.000124224
capabiliti,0,5206,2844,0.000124224
select,0,5206,2844,0.000124224
transfer,0,5206,2844,0.000124224
dig,0,5206,2844,0.000124224
quick,0,5206,2844,0.000124224
politely,0,5206,2844,0.000124224
goodbye,0,5206,2844,0.000124224
taught,0,5206,2844,0.000124224
decent,0,5206,2844,0.000124224
positive,0,5206,2844,0.000124224
directly,0,5206,2844,0.000124224
layout,0,5206,2844,0.000124224
aggregate,0,5206,2844,0.000124224
source,0,5206,2844,0.000124224
spiral,0,5206,2844,0.000124224
inbuilt,0,5206,2844,0.000124224
panoramic,0,5206,2844,0.000124224
panorama,0,5206,2844,0.000124224
tasty,0,5206,2844,0.000124224
toy,0,5206,2844,0.000124224
gallery,0,5206,2844,0.000124224
shutter,0,5206,2844,0.000124224
insane,0,5206,2844,0.000124224
thumb,0,5206,2844,0.000124224
edit,0,5206,2844,0.000124224
three,0,5206,2844,0.000124224
score,0,5206,2844,0.000124224
along,0,5206,2844,0.000124224
delay,0,5206,2844,0.000124224
watchdog,0,5206,2844,0.000124224
study,0,5206,2844,0.000124224
guide,0,5206,2844,0.000124224
display,0,5206,2844,0.000124224
peanut,0,5206,2844,0.000124224
neither,0,5206,2844,0.000124224
pea,0,5206,2844,0.000124224
discuss,0,5206,2844,0.000124224
retard,0,5206,2844,0.000124224
planet,0,5206,2844,0.000124224
pinch,0,5206,2844,0.000124224
zoom,0,5206,2844,0.000124224
superior,0,5206,2844,0.000124224
bookmark,0,5206,2844,0.000124224
redesign,0,5206,2844,0.000124224
conversation,0,5206,2844,0.000124224
automatically,0,5206,2844,0.000124224
doorstep,0,5206,2844,0.000124224
excellent,0,5206,2844,0.000124224
commercial,0,5206,2844,0.000124224
announcement,0,5206,2844,0.000124224
dictation,0,5206,2844,0.000124224
smooth,0,5206,2844,0.000124224
responsive,0,5206,2844,0.000124224
widget,0,5206,2844,0.000124224
navigation,0,5206,2844,0.000124224
built,0,5206,2844,0.000124224
stack,0,5206,2844,0.000124224
richer,0,5206,2844,0.000124224
wallpaper,0,5206,2844,0.000124224
curiou,0,5206,2844,0.000124224
highlight,0,5206,2844,0.000124224
mull,0,5206,2844,0.000124224
shore,0,5206,2844,0.000124224
bout,0,5206,2844,0.000124224
accessibility,0,5206,2844,0.000124224
dump,0,5206,2844,0.000124224
ton,0,5206,2844,0.000124224
spam,0,5206,2844,0.000124224
awkward,0,5206,2844,0.000124224
load,0,5206,2844,0.000124224
blackout,0,5206,2844,0.000124224
threaten,0,5206,2844,0.000124224
august,0,5206,2844,0.000124224
uphill,0,5206,2844,0.000124224
parker,0,5206,2844,0.000124224
lecture,0,5206,2844,0.000124224
economic,0,5206,2844,0.000124224
hypocritical,0,5206,2844,0.000124224
melt,0,5206,2844,0.000124224
letdown,0,5206,2844,0.000124224
introduce,0,5206,2844,0.000124224
singaporean,0,5206,2844,0.000124224
facial,0,5206,2844,0.000124224
demo,0,5206,2844,0.000124224
goof,0,5206,2844,0.000124224
interference,0,5206,2844,0.000124224
headache,0,5206,2844,0.000124224
visigoth,0,5206,2844,0.000124224
froze,0,5206,2844,0.000124224
new,0,5206,2844,0.000124224
laughable,0,5206,2844,0.000124224
encrypt,0,5206,2844,0.000124224
maximize,0,5206,2844,0.000124224
collection,0,5206,2844,0.000124224
background,0,5206,2844,0.000124224
horrible,0,5206,2844,0.000124224
stream,0,5206,2844,0.000124224
code,0,5206,2844,0.000124224
skill,0,5206,2844,0.000124224
perform,0,5206,2844,0.000124224
date,0,5206,2844,0.000124224
impact,0,5206,2844,0.000124224
illustrate,0,5206,2844,0.000124224
peril,0,5206,2844,0.000124224
demonstration,0,5206,2844,0.000124224
admirably,0,5206,2844,0.000124224
revolution,0,5206,2844,0.000124224
stalk,0,5206,2844,0.000124224
performance,0,5206,2844,0.000124224
leave,0,5206,2844,0.000124224
fold,0,5206,2844,0.000124224
beat,0,5206,2844,0.000124224
iteration,0,5206,2844,0.000124224
several,0,5206,2844,0.000124224
revamp,0,5206,2844,0.000124224
compete,0,5206,2844,0.000124224
pittsburgh,0,5206,2844,0.000124224
recruit,0,5206,2844,0.000124224
hands-on,0,5206,2844,0.000124224
latest,0,5206,2844,0.000124224
theater,0,5206,2844,0.000124224
dubai,0,5206,2844,0.000124224
unwrap,0,5206,2844,0.000124224
vagina,0,5206,2844,0.000124224
encryption,0,5206,2844,0.000124224
menu,0,5206,2844,0.000124224
butt,0,5206,2844,0.000124224
unite,0,5206,2844,0.000124224
republish,0,5206,2844,0.000124224
index,0,5206,2844,0.000124224
perk,0,5206,2844,0.000124224
empire,0,5206,2844,0.000124224
avenue,0,5206,2844,0.000124224
outbound,0,5206,2844,0.000124224
rede,0,5206,2844,0.000124224
understand,0,5206,2844,0.000124224
flight,0,5206,2844,0.000124224
travel,0,5206,2844,0.000124224
downward,0,5206,2844,0.000124224
novelty,0,5206,2844,0.000124224
important,0,5206,2844,0.000124224
density,0,5206,2844,0.000124224
real-time,0,5206,2844,0.000124224
collaboration,0,5206,2844,0.000124224
transition,0,5206,2844,0.000124224
joke,0,5206,2844,0.000124224
slogan,0,5206,2844,0.000124224
industry,0,5206,2844,0.000124224
witness,0,5206,2844,0.000124224
astound,0,5206,2844,0.000124224
seal,0,5206,2844,0.000124224
supreme,0,5206,2844,0.000124224
console,0,5206,2844,0.000124224
traditional,0,5206,2844,0.000124224
secure,0,5206,2844,0.000124224
queri,0,5206,2844,0.000124224
track,0,5206,2844,0.000124224
land,0,5206,2844,0.000124224
conversion,0,5206,2844,0.000124224
cap,0,5206,2844,0.000124224
commodity,0,5206,2844,0.000124224
advertiser,0,5206,2844,0.000124224
arrive,0,5206,2844,0.000124224
curve,0,5206,2844,0.000124224
rival,0,5206,2844,0.000124224
url,0,5206,2844,0.000124224
webmaster,0,5206,2844,0.000124224
chicago,0,5206,2844,0.000124224
recap,0,5206,2844,0.000124224
host,0,5206,2844,0.000124224
africa,0,5206,2844,0.000124224
political,0,5206,2844,0.000124224
revue,0,5206,2844,0.000124224
companion,0,5206,2844,0.000124224
controller,0,5206,2844,0.000124224
announce,0,5206,2844,0.000124224
payment,0,5206,2844,0.000124224
environment,0,5206,2844,0.000124224
solar,0,5206,2844,0.000124224
plant,0,5206,2844,0.000124224
block,0,5206,2844,0.000124224
receive,0,5206,2844,0.000124224
juice,0,5206,2844,0.000124224
run-down,0,5206,2844,0.000124224
tip,0,5206,2844,0.000124224
crawl,0,5206,2844,0.000124224
creep,0,5206,2844,0.000124224
wake,0,5206,2844,0.000124224
honeycomb,0,5206,2844,0.000124224
gingerbread,0,5206,2844,0.000124224
referral,0,5206,2844,0.000124224
hack,0,5206,2844,0.000124224
wisely,0,5206,2844,0.000124224
sheet,0,5206,2844,0.000124224
xma,0,5206,2844,0.000124224
confirm,0,5206,2844,0.000124224
enhancement,0,5206,2844,0.000124224
texa,0,5206,2844,0.000124224
instrument,0,5206,2844,0.000124224
core,0,5206,2844,0.000124224
newer,0,5206,2844,0.000124224
processor,0,5206,2844,0.000124224
competition,0,5206,2844,0.000124224
venture,0,5206,2844,0.000124224
rumor,0,5206,2844,0.000124224
asap,0,5206,2844,0.000124224
application,0,5206,2844,0.000124224
overview,0,5206,2844,0.000124224
acceleration,0,5206,2844,0.000124224
telecom,0,5206,2844,0.000124224
pure,0,5206,2844,0.000124224
society,0,5206,2844,0.000124224
empowerment,0,5206,2844,0.000124224
lightly,0,5206,2844,0.000124224
determine,0,5206,2844,0.000124224
firm,0,5206,2844,0.000124224
investment,0,5206,2844,0.000124224
solely,0,5206,2844,0.000124224
spencer,0,5206,2844,0.000124224
restrict,0,5206,2844,0.000124224
engine,0,5206,2844,0.000124224
cach,0,5206,2844,0.000124224
retailer,0,5206,2844,0.000124224
jump,0,5206,2844,0.000124224
promotion,0,5206,2844,0.000124224
fortunately,0,5206,2844,0.000124224
sadly,0,5206,2844,0.000124224
copi,0,5206,2844,0.000124224
captain,0,5206,2844,0.000124224
movie,0,5206,2844,0.000124224
intro,0,5206,2844,0.000124224
destination,0,5206,2844,0.000124224
rant,0,5206,2844,0.000124224
pathetic,0,5206,2844,0.000124224
afterthought,0,5206,2844,0.000124224
suite,0,5206,2844,0.000124224
variety,0,5206,2844,0.000124224
way,0,5206,2844,0.000124224
engineer,0,5206,2844,0.000124224
intend,0,5206,2844,0.000124224
become,0,5206,2844,0.000124224
famou,0,5206,2844,0.000124224
criticize,0,5206,2844,0.000124224
trounc,0,5206,2844,0.000124224
discover,0,5206,2844,0.000124224
critical,0,5206,2844,0.000124224
information,0,5206,2844,0.000124224
belong,0,5206,2844,0.000124224
digitally,0,5206,2844,0.000124224
underly,0,5206,2844,0.000124224
eatable,0,5206,2844,0.000124224
eclair,0,5206,2844,0.000124224
reshape,0,5206,2844,0.000124224
feat,0,5206,2844,0.000124224
freestyle,0,5206,2844,0.000124224
manhole,0,5206,2844,0.000124224
round,0,5206,2844,0.000124224
china,0,5206,2844,0.000124224
googl,0,5206,2844,0.000124224
women,0,5206,2844,0.000124224
resemble,0,5206,2844,0.000124224
momma,0,5206,2844,0.000124224
fellow,0,5206,2844,0.000124224
michigander,0,5206,2844,0.000124224
michigan,0,5206,2844,0.000124224
circle,0,5206,2844,0.000124224
hacker,0,5206,2844,0.000124224
marketer,0,5206,2844,0.000124224
division,0,5206,2844,0.000124224
development,0,5206,2844,0.000124224
spring,0,5206,2844,0.000124224
drink,0,5206,2844,0.000124224
barometer,0,5206,2844,0.000124224
bunny,0,5206,2844,0.000124224
watson,0,5206,2844,0.000124224
unlike,0,5206,2844,0.000124224
repli,0,5206,2844,0.000124224
thread,0,5206,2844,0.000124224
weaken,0,5206,2844,0.000124224
undoubtedly,0,5206,2844,0.000124224
tough,0,5206,2844,0.000124224
demon,0,5206,2844,0.000124224
cast,0,5206,2844,0.000124224
wide,0,5206,2844,0.000124224
mike,0,5206,2844,0.000124224
smile,0,5206,2844,0.000124224
shout,0,5206,2844,0.000124224
universe,0,5206,2844,0.000124224
explod,0,5206,2844,0.000124224
advantage,0,5206,2844,0.000124224
profound,0,5206,2844,0.000124224
massive,0,5206,2844,0.000124224
nexuss,0,5206,2844,0.000124224
lazy,0,5206,2844,0.000124224
short,0,5206,2844,0.000124224
supply,0,5206,2844,0.000124224
roundup,0,5206,2844,0.000124224
snippet,0,5206,2844,0.000124224
prod,0,5206,2844,0.000124224
gadget,0,5206,2844,0.000124224
uncategorize,0,5206,2844,0.000124224
availability,0,5206,2844,0.000124224
peter,0,5206,2844,0.000124224
mango,0,5206,2844,0.000124224
emb,0,5206,2844,0.000124224
redirect,0,5206,2844,0.000124224
artisan,0,5206,2844,0.000124224
experiment,0,5206,2844,0.000124224
mouth,0,5206,2844,0.000124224
relive,0,5206,2844,0.000124224
rebuttal,0,5206,2844,0.000124224
bridge,0,5206,2844,0.000124224
pretend,0,5206,2844,0.000124224
steal,0,5206,2844,0.000124224
crew,0,5206,2844,0.000124224
coverage,0,5206,2844,0.000124224
health,0,5206,2844,0.000124224
dust,0,5206,2844,0.000124224
children,0,5206,2844,0.000124224
gun,0,5206,2844,0.000124224
parisian,0,5206,2844,0.000124224
debate,0,5206,2844,0.000124224
vote,0,5206,2844,0.000124224
somebody,0,5206,2844,0.000124224
imitation,0,5206,2844,0.000124224
flattery,0,5206,2844,0.000124224
junkyard,0,5206,2844,0.000124224
examine,0,5206,2844,0.000124224
bounce,0,5206,2844,0.000124224
lover,0,5206,2844,0.000124224
beate,0,5206,2844,0.000124224
village,0,5206,2844,0.000124224
intent,0,5206,2844,0.000124224
coupon,0,5206,2844,0.000124224
reward,0,5206,2844,0.000124224
despite,0,5206,2844,0.000124224
monumental,0,5206,2844,0.000124224
conspiracy,0,5206,2844,0.000124224
threw,0,5206,2844,0.000124224
pleasant,0,5206,2844,0.000124224
indee,0,5206,2844,0.000124224
laugh,0,5206,2844,0.000124224
tap,0,5206,2844,0.000124224
private,0,5206,2844,0.000124224
brows,0,5206,2844,0.000124224
eye,0,5206,2844,0.000124224
inspiration,0,5206,2844,0.000124224
duly,0,5206,2844,0.000124224
innovator,0,5206,2844,0.000124224
recent,0,5206,2844,0.000124224
position,0,5206,2844,0.000124224
amaze,0,5206,2844,0.000124224
freshen,0,5206,2844,0.000124224
buggy,0,5206,2844,0.000124224
bookworm,0,5206,2844,0.000124224
abstract,0,5206,2844,0.000124224
limitless,0,5206,2844,0.000124224
librari,0,5206,2844,0.000124224
bill,0,5206,2844,0.000124224
gross,0,5206,2844,0.000124224
develop,0,5206,2844,0.000124224
notch,0,5206,2844,0.000124224
backdrop,0,5206,2844,0.000124224
lot,0,5206,2844,0.000124224
resolution,0,5206,2844,0.000124224
maryland,0,5206,2844,0.000124224
mica,0,5206,2844,0.000124224
catch,0,5206,2844,0.000124224
recently,0,5206,2844,0.000124224
prep,0,5206,2844,0.000124224
unifi,0,5206,2844,0.000124224
europe,0,5206,2844,0.000124224
asia,0,5206,2844,0.000124224
hugo,0,5206,2844,0.000124224
buddi,0,5206,2844,0.000124224
cent,0,5206,2844,0.000124224
capture,0,5206,2844,0.000124224
continuou,0,5206,2844,0.000124224
lapse,0,5206,2844,0.000124224
glitch,0,5206,2844,0.000124224
beirut,0,5206,2844,0.000124224
tag,0,5206,2844,0.000124224
hipster,0,5206,2844,0.000124224
filter,0,5206,2844,0.000124224
irony,0,5206,2844,0.000124224
marketplace,0,5206,2844,0.000124224
preview,0,5206,2844,0.000124224
scale,0,5206,2844,0.000124224
guest,0,5206,2844,0.000124224
mostly,0,5206,2844,0.000124224
chinese,0,5206,2844,0.000124224
show-off,0,5206,2844,0.000124224
reverse,0,5206,2844,0.000124224
crime,0,5206,2844,0.000124224
wear,0,5206,2844,0.000124224
capability,0,5206,2844,0.000124224
measure,0,5206,2844,0.000124224
campaign,0,5206,2844,0.000124224
tagger,0,5206,2844,0.000124224
sticker,0,5206,2844,0.000124224
cheque,0,5206,2844,0.000124224
echelon,0,5206,2844,0.000124224
asian,0,5206,2844,0.000124224
rise,0,5206,2844,0.000124224
democrat,0,5206,2844,0.000124224
join,0,5206,2844,0.000124224
grey,0,5206,2844,0.000124224
chairman,0,5206,2844,0.000124224
greater,0,5206,2844,0.000124224
asset,0,5206,2844,0.000124224
heavy,0,5206,2844,0.000124224
park,0,5206,2844,0.000124224
summit,0,5206,2844,0.000124224
reflect,0,5206,2844,0.000124224
culture,0,5206,2844,0.000124224
poker,0,5206,2844,0.000124224
fight,0,5206,2844,0.000124224
university,0,5206,2844,0.000124224
propose,0,5206,2844,0.000124224
eyelid,0,5206,2844,0.000124224
twitche,0,5206,2844,0.000124224
passe,0,5206,2844,0.000124224
pour,0,5206,2844,0.000124224
singapore,0,5206,2844,0.000124224
pacific,0,5206,2844,0.000124224
region,0,5206,2844,0.000124224
parkway,0,5206,2844,0.000124224
novena,0,5206,2844,0.000124224
premier,0,5206,2844,0.000124224
healthcare,0,5206,2844,0.000124224
impatient,0,5206,2844,0.000124224
arriver,0,5206,2844,0.000124224
salisbury,0,5206,2844,0.000124224
tournament,0,5206,2844,0.000124224
fire,0,5206,2844,0.000124224
fringe,0,5206,2844,0.000124224
pulse,0,5206,2844,0.000124224
para,0,5206,2844,0.000124224
ringgit,0,5206,2844,0.000124224
european,0,5206,2844,0.000124224
currenci,0,5206,2844,0.000124224
strengthen,0,5206,2844,0.000124224
outweigh,0,5206,2844,0.000124224
higher,0,5206,2844,0.000124224
ey,0,5206,2844,0.000124224
thailand,0,5206,2844,0.000124224
factor,0,5206,2844,0.000124224
agency,0,5206,2844,0.000124224
originally,0,5206,2844,0.000124224
guardian,0,5206,2844,0.000124224
shop,0,5206,2844,0.000124224
strategi,0,5206,2844,0.000124224
pace,0,5206,2844,0.000124224
spain,0,5206,2844,0.000124224
downside,0,5206,2844,0.000124224
rumour,0,5206,2844,0.000124224
dive,0,5206,2844,0.000124224
bond,0,5206,2844,0.000124224
strait,0,5206,2844,0.000124224
wheat,0,5206,2844,0.000124224
monopoly,0,5206,2844,0.000124224
swap,0,5206,2844,0.000124224
compliance,0,5206,2844,0.000124224
leas,0,5206,2844,0.000124224
programme,0,5206,2844,0.000124224
rachel,0,5206,2844,0.000124224
specify,0,5206,2844,0.000124224
license,0,5206,2844,0.000124224
surfactant,0,5206,2844,0.000124224
sauce,0,5206,2844,0.000124224
tout,0,5206,2844,0.000124224
beau,0,5206,2844,0.000124224
panda,0,5206,2844,0.000124224
affect,0,5206,2844,0.000124224
rank,0,5206,2844,0.000124224
vendor,0,5206,2844,0.000124224
degree,0,5206,2844,0.000124224
format,0,5206,2844,0.000124224
annotate,0,5206,2844,0.000124224
bibliography,0,5206,2844,0.000124224
jew,0,5206,2844,0.000124224
jesu,0,5206,2844,0.000124224
5206,0,5206,2844,0.000124224
hitler,0,5206,2844,0.000124224
lab,0,5206,2844,0.000124224
harvard,0,5206,2844,0.000124224
mindfulness,0,5206,2844,0.000124224
technique,0,5206,2844,0.000124224
jewel,0,5206,2844,0.000124224
swear,0,5206,2844,0.000124224
nada,0,5206,2844,0.000124224
dealt,0,5206,2844,0.000124224
method,0,5206,2844,0.000124224
profitable,0,5206,2844,0.000124224
duke,0,5206,2844,0.000124224
homeless,0,5206,2844,0.000124224
Youth,0,5206,2844,0.000124224
domestic,0,5206,2844,0.000124224
violence,0,5206,2844,0.000124224
newbi,0,5206,2844,0.000124224
river,0,5206,2844,0.000124224
waste,0,5206,2844,0.000124224
will,0,5206,2844,0.000124224
hail,0,5206,2844,0.000124224
encounter,0,5206,2844,0.000124224
agenda,0,5206,2844,0.000124224
funniest,0,5206,2844,0.000124224
sushi,0,5206,2844,0.000124224
lawyer,0,5206,2844,0.000124224
police,0,5206,2844,0.000124224
okay,0,5206,2844,0.000124224
feedback,0,5206,2844,0.000124224
settlement,0,5206,2844,0.000124224
plaintiff,0,5206,2844,0.000124224
role,0,5206,2844,0.000124224
insolvency,0,5206,2844,0.000124224
reconnaissance,0,5206,2844,0.000124224
caution,0,5206,2844,0.000124224
cyanogen,0,5206,2844,0.000124224
deep,0,5206,2844,0.000124224
participate,0,5206,2844,0.000124224
certification,0,5206,2844,0.000124224
spanish,0,5206,2844,0.000124224
medical,0,5206,2844,0.000124224
buffalo,0,5206,2844,0.000124224
pavilion,0,5206,2844,0.000124224
claw,0,5206,2844,0.000124224
relevance,0,5206,2844,0.000124224
rich,0,5206,2844,0.000124224
excel,0,5206,2844,0.000124224
productive,0,5206,2844,0.000124224
communication,0,5206,2844,0.000124224
underrate,0,5206,2844,0.000124224
dish,0,5206,2844,0.000124224
handset,0,5206,2844,0.000124224
explorer,0,5206,2844,0.000124224
eate,0,5206,2844,0.000124224
priceless,0,5206,2844,0.000124224
vancouver,0,5206,2844,0.000124224
evangelist,0,5206,2844,0.000124224
cash,0,5206,2844,0.000124224
coast,0,5206,2844,0.000124224
portland,0,5206,2844,0.000124224
safe,0,5206,2844,0.000124224
safety,0,5206,2844,0.000124224
technologi,0,5206,2844,0.000124224
encourage,0,5206,2844,0.000124224
career,0,5206,2844,0.000124224
enjoy,0,5206,2844,0.000124224
compell,0,5206,2844,0.000124224
self-service,0,5206,2844,0.000124224
registration,0,5206,2844,0.000124224
curate,0,5206,2844,0.000124224
greenwich,0,5206,2844,0.000124224
later,0,5206,2844,0.000124224
charity,0,5206,2844,0.000124224
philanthropy,0,5206,2844,0.000124224
scientist,0,5206,2844,0.000124224
extent,0,5206,2844,0.000124224
sponsor,0,5206,2844,0.000124224
delegate,0,5206,2844,0.000124224
validate,0,5206,2844,0.000124224
target,0,5206,2844,0.000124224
touchscreen,0,5206,2844,0.000124224
campu,0,5206,2844,0.000124224
mixer,0,5206,2844,0.000124224
science,0,5206,2844,0.000124224
fiction,0,5206,2844,0.000124224
playful,0,5206,2844,0.000124224
faculty,0,5206,2844,0.000124224
pois,0,5206,2844,0.000124224
action,0,5206,2844,0.000124224
contender,0,5206,2844,0.000124224
combine,0,5206,2844,0.000124224
interface,0,5206,2844,0.000124224
became,0,5206,2844,0.000124224
citizenship,0,5206,2844,0.000124224
member,0,5206,2844,0.000124224
border,0,5206,2844,0.000124224
utiliti,0,5206,2844,0.000124224
enterprise,0,5206,2844,0.000124224
scalability,0,5206,2844,0.000124224
unfair,0,5206,2844,0.000124224
assessment,0,5206,2844,0.000124224
sage,0,5206,2844,0.000124224
dynamic,0,5206,2844,0.000124224
opportuniti,0,5206,2844,0.000124224
tour,0,5206,2844,0.000124224
helsinki,0,5206,2844,0.000124224
finland,0,5206,2844,0.000124224
sugar-coate,0,5206,2844,0.000124224
blatant,0,5206,2844,0.000124224
propaganda,0,5206,2844,0.000124224
composite,0,5206,2844,0.000124224
individual,0,5206,2844,0.000124224
technological,0,5206,2844,0.000124224
futuristic,0,5206,2844,0.000124224
desir,0,5206,2844,0.000124224
provid,0,5206,2844,0.000124224
fund,0,5206,2844,0.000124224
sweatshop,0,5206,2844,0.000124224
gate,0,5206,2844,0.000124224
foundation,0,5206,2844,0.000124224
courtesy,0,5206,2844,0.000124224
inspir,0,5206,2844,0.000124224
surface,0,5206,2844,0.000124224
vulnerability,0,5206,2844,0.000124224
framework,0,5206,2844,0.000124224
eclips,0,5206,2844,0.000124224
violate,0,5206,2844,0.000124224
u.,0,5206,2844,0.000124224
law,0,5206,2844,0.000124224
netscape,0,5206,2844,0.000124224
victim,0,5206,2844,0.000124224
racketeer,0,5206,2844,0.000124224
outlaw,0,5206,2844,0.000124224
worker,0,5206,2844,0.000124224
chief,0,5206,2844,0.000124224
mole,0,5206,2844,0.000124224
messy,0,5206,2844,0.000124224
nightmare,0,5206,2844,0.000124224
creepy,0,5206,2844,0.000124224
enrage,0,5206,2844,0.000124224
produce,0,5206,2844,0.000124224
lobby,0,5206,2844,0.000124224
politician,0,5206,2844,0.000124224
acceptable,0,5206,2844,0.000124224
sit,0,5206,2844,0.000124224
compare,0,5206,2844,0.000124224
albatross,0,5206,2844,0.000124224
neck,0,5206,2844,0.000124224
happier,0,5206,2844,0.000124224
comp,0,5206,2844,0.000124224
discussion,0,5206,2844,0.000124224
grab,0,5206,2844,0.000124224
nearly,0,5206,2844,0.000124224
dine,0,5206,2844,0.000124224
lean,0,5206,2844,0.000124224
concept,0,5206,2844,0.000124224
corporation,0,5206,2844,0.000124224
difference,0,5206,2844,0.000124224
kick,0,5206,2844,0.000124224
alongside,0,5206,2844,0.000124224
colour,0,5206,2844,0.000124224
blew,0,5206,2844,0.000124224
water,0,5206,2844,0.000124224
interoperability,0,5206,2844,0.000124224
backward,0,5206,2844,0.000124224
compatibility,0,5206,2844,0.000124224
stephen,0,5206,2844,0.000124224
cesspit,0,5206,2844,0.000124224
extreme,0,5206,2844,0.000124224
avoid,0,5206,2844,0.000124224
negative,0,5206,2844,0.000124224
comment,0,5206,2844,0.000124224
distrust,0,5206,2844,0.000124224
angst,0,5206,2844,0.000124224
fixation,0,5206,2844,0.000124224
wave,0,5206,2844,0.000124224
bye-bye,0,5206,2844,0.000124224
preach,0,5206,2844,0.000124224
value,0,5206,2844,0.000124224
excuse,0,5206,2844,0.000124224
instantly,0,5206,2844,0.000124224
manually,0,5206,2844,0.000124224
unproductive,0,5206,2844,0.000124224
forc,0,5206,2844,0.000124224
enemi,0,5206,2844,0.000124224
pray,0,5206,2844,0.000124224
licens,0,5206,2844,0.000124224
baffle,0,5206,2844,0.000124224
moron,0,5206,2844,0.000124224
arrogance,0,5206,2844,0.000124224
compliment,0,5206,2844,0.000124224
obituari,0,5206,2844,0.000124224
riskiest,0,5206,2844,0.000124224
attribut,0,5206,2844,0.000124224
undergo,0,5206,2844,0.000124224
trial,0,5206,2844,0.000124224
alleg,0,5206,2844,0.000124224
practice,0,5206,2844,0.000124224
conclud,0,5206,2844,0.000124224
march,0,5206,2844,0.000124224
ultimate,0,5206,2844,0.000124224
catastrophe,0,5206,2844,0.000124224
plot,0,5206,2844,0.000124224
loathe,0,5206,2844,0.000124224
unable,0,5206,2844,0.000124224
german,0,5206,2844,0.000124224
federal,0,5206,2844,0.000124224
trojan,0,5206,2844,0.000124224
spy,0,5206,2844,0.000124224
exception,0,5206,2844,0.000124224
slack,0,5206,2844,0.000124224
mandarin,0,5206,2844,0.000124224
studi,0,5206,2844,0.000124224
